size_label,M,N,K,G,T,instance_id,instance_index,instance_seed,budget_sec,solver,solver_seed,objective,runtime_sec,greedy_obj,gap_vs_greedy_pct,iterations,generations,local_searches,local_search_time_sec,error
15x15,15,15,30,4,44,CMP_s150002_M15_N15_G4,2,150002,120.0,alns_tabu,0,310.0,100.96849441400263,320.0,0.0,25000,,60,29.982108505020733,
15x15,15,15,30,4,44,CMP_s150002_M15_N15_G4,2,150002,120.0,ga_tabu,0,309.0,120.04443311400246,320.0,0.0,,6,65,,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,10.0,alns,0,165.0,10.000614973003394,167.0,0.0,2913,,,,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,10.0,alns_tabu,0,165.0,10.01629889299511,167.0,0.0,2432,,4,2.527047995987232,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,10.0,ga_tabu,0,165.0,10.025058772997,167.0,0.0,,1,5,,
15x15,15,15,30,6,33,CMP_s150004_M15_N15_G6,4,150004,60.0,alns,0,210.0,60.001458307000576,214.0,0.0,18561,,,,
15x15,15,15,30,6,33,CMP_s150004_M15_N15_G6,4,150004,60.0,alns_tabu,0,208.0,60.00424962799298,214.0,0.0,14315,,22,15.056156491002184,
15x15,15,15,30,6,33,CMP_s150004_M15_N15_G6,4,150004,60.0,ga_tabu,0,208.0,60.055139609990874,214.0,0.0,,2,24,,
15x15,15,15,30,5,36,CMP_s150003_M15_N15_G5,3,150003,120.0,alns,0,251.0,78.8199298279942,254.0,0.0,25000,,,,
15x15,15,15,30,5,36,CMP_s150003_M15_N15_G5,3,150003,120.0,alns_tabu,0,250.0,101.29185300300014,254.0,0.0,25000,,46,29.94441031702445,
15x15,15,15,30,5,36,CMP_s150003_M15_N15_G5,3,150003,120.0,ga_tabu,0,250.0,120.1762294729997,254.0,0.0,,5,54,,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,10.0,alns,0,135.0,10.013374931993894,142.0,0.0,2598,,,,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,10.0,alns_tabu,0,134.0,10.000299095001537,142.0,0.0,2352,,4,2.4950958689732943,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,10.0,ga_tabu,0,134.0,10.07819835099508,142.0,0.0,,1,4,,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,60.0,alns,0,165.0,60.00162877199182,167.0,0.0,15711,,,,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,60.0,alns_tabu,0,165.0,60.024382764997426,167.0,0.0,13624,,20,14.969740842003375,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,60.0,ga_tabu,0,165.0,60.05400342300709,167.0,0.0,,2,24,,
15x15,15,15,30,6,33,CMP_s150004_M15_N15_G6,4,150004,120.0,alns,0,208.0,83.71367701100826,214.0,0.0,25000,,,,
15x15,15,15,30,6,33,CMP_s150004_M15_N15_G6,4,150004,120.0,alns_tabu,0,208.0,109.19974636900588,214.0,0.0,25000,,42,29.94623504295305,
15x15,15,15,30,6,33,CMP_s150004_M15_N15_G6,4,150004,120.0,ga_tabu,0,208.0,120.00092539399338,214.0,0.0,,6,54,,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,60.0,alns,0,134.0,60.002029260998825,142.0,0.0,17100,,,,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,60.0,alns_tabu,0,134.0,60.00034537499596,142.0,0.0,14531,,17,14.968619723964366,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,60.0,ga_tabu,0,134.0,60.08053353399737,142.0,0.0,,2,22,,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,10.0,alns,0,152.0,10.024457519990392,153.0,0.0,2665,,,,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,10.0,alns_tabu,0,152.0,10.001135162994615,153.0,0.0,2146,,3,2.5010823370248545,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,10.0,ga_tabu,0,152.0,10.076042105996748,153.0,0.0,,1,4,,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,120.0,alns,0,165.0,86.55834343099559,167.0,0.0,25000,,,,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,120.0,alns_tabu,0,165.0,107.15469045599457,167.0,0.0,25000,,39,30.006212198000867,
15x15,15,15,30,7,25,CMP_s150005_M15_N15_G7,5,150005,120.0,ga_tabu,0,165.0,120.03725833201315,167.0,0.0,,5,45,,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,10.0,alns,0,132.0,10.021660144993803,134.0,0.0,2794,,,,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,10.0,alns_tabu,0,132.0,10.000393080001231,134.0,0.0,1551,,3,2.536435885995161,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,10.0,ga_tabu,0,132.0,10.065908247997868,134.0,0.0,,1,4,,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,60.0,alns,0,152.0,60.00107901399315,153.0,0.0,14792,,,,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,60.0,alns_tabu,0,152.0,60.00126089999685,153.0,0.0,12599,,19,14.999658953980543,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,60.0,ga_tabu,0,152.0,60.03650205000304,153.0,0.0,,2,22,,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,120.0,alns,0,134.0,82.52021264299401,142.0,0.0,25000,,,,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,120.0,alns_tabu,0,134.0,120.00128665400553,142.0,0.0,24702,,40,29.953964099026052,
15x15,15,15,30,8,21,CMP_s150006_M15_N15_G8,6,150006,120.0,ga_tabu,0,134.0,120.05722628498916,142.0,0.0,,4,43,,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,10.0,alns,0,659.0,10.002020586005528,660.0,0.0,3187,,,,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,10.0,alns_tabu,0,652.0,10.000404816004448,660.0,0.0,2669,,5,2.495322128990665,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,10.0,ga_tabu,0,648.0,10.063996275988757,660.0,0.0,,1,6,,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,60.0,alns,0,132.0,60.001097815998946,134.0,0.0,14808,,,,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,60.0,alns_tabu,0,132.0,60.00872071000049,134.0,0.0,9171,,18,14.969097090986907,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,60.0,ga_tabu,0,132.0,60.12459392899473,134.0,0.0,,2,20,,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,120.0,alns,0,152.0,97.13215494899487,153.0,0.0,25000,,,,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,120.0,alns_tabu,0,152.0,120.0008472030022,153.0,0.0,23883,,37,29.974467926018406,
15x15,15,15,30,9,22,CMP_s150007_M15_N15_G9,7,150007,120.0,ga_tabu,0,152.0,120.05301629999303,153.0,0.0,,4,42,,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,10.0,alns,0,2546.0,10.00348566599132,2569.0,0.0,1502,,,,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,10.0,alns_tabu,0,2518.0,10.003059877999476,2569.0,0.0,1047,,2,2.500006893009413,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,10.0,ga_tabu,0,2499.0,10.159197333996417,2569.0,0.0,,1,2,,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,60.0,alns,0,652.0,54.51269367200439,660.0,0.0,25000,,,,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,60.0,alns_tabu,0,648.0,60.000333875999786,660.0,0.0,18829,,37,14.973409847923904,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,60.0,ga_tabu,0,648.0,60.03537041999516,660.0,0.0,,4,40,,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,120.0,alns,0,132.0,105.15607165799884,134.0,0.0,25000,,,,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,120.0,alns_tabu,0,132.0,120.00092802400468,134.0,0.0,21887,,34,29.94933164602844,
15x15,15,15,30,10,20,CMP_s150008_M15_N15_G10,8,150008,120.0,ga_tabu,0,132.0,120.06334436999168,134.0,0.0,,4,41,,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,60.0,alns,0,2517.0,60.00026230599906,2569.0,0.0,7614,,,,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,60.0,alns_tabu,0,2509.0,60.00022661600087,2569.0,0.0,5867,,10,14.992968060978455,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,60.0,ga_tabu,0,2497.0,60.10858136699244,2569.0,0.0,,2,15,,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,10.0,alns,0,1717.0,10.013091469998471,1728.0,0.0,1250,,,,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,10.0,alns_tabu,0,1701.0,10.0047718630085,1728.0,0.0,1101,,3,2.5077226720022736,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,10.0,ga_tabu,0,1695.0,10.063674338001874,1728.0,0.0,,1,2,,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,120.0,alns,0,655.0,56.156464519997826,660.0,0.0,25000,,,,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,120.0,alns_tabu,0,648.0,91.64789700499387,660.0,0.0,25000,,60,29.95113822503481,
15x15,15,15,30,2,88,CMP_s150009_M15_N15_G2,9,150009,120.0,ga_tabu,0,648.0,120.03336655399471,660.0,0.0,,9,88,,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,10.0,alns,0,1192.0,10.001497588003986,1217.0,0.0,1330,,,,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,10.0,alns_tabu,0,1189.0,10.001717612991342,1217.0,0.0,998,,3,2.50640653600567,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,10.0,ga_tabu,0,1193.0,10.248879574006423,1217.0,0.0,,1,3,,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,60.0,alns,0,1696.0,60.00089690698951,1728.0,0.0,8613,,,,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,60.0,alns_tabu,0,1697.0,60.00675633500214,1728.0,0.0,5599,,10,15.105313182983082,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,60.0,ga_tabu,0,1690.0,60.063475868999376,1728.0,0.0,,2,15,,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,60.0,alns,0,1194.0,60.002447731996654,1217.0,0.0,6319,,,,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,60.0,alns_tabu,0,1189.0,60.00238234800054,1217.0,0.0,5369,,11,14.969349805978709,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,60.0,ga_tabu,0,1190.0,60.16804754899931,1217.0,0.0,,1,11,,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,120.0,alns,0,2513.0,120.00709634000668,2569.0,0.0,15269,,,,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,120.0,alns_tabu,0,2504.0,120.00039944100718,2569.0,0.0,12635,,27,29.944991846059565,
30x30,30,30,60,2,184,CMP_s300000_M30_N30_G2,0,300000,120.0,ga_tabu,0,2494.0,120.06302328800666,2569.0,0.0,,3,29,,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,10.0,alns,0,1056.0,10.000570286996663,1085.0,0.0,1336,,,,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,10.0,alns_tabu,0,1050.0,10.001656362001086,1085.0,0.0,993,,2,2.5121872180170612,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,10.0,ga_tabu,0,1041.0,10.236157974999514,1085.0,0.0,,1,2,,
